d,date,time,weekday,workday,humidity,temperature
2019-03-13 11:55:00,2019-03-13,11:55:00,2,True,48.0,5.0
2019-03-13 12:00:00,2019-03-13,12:00:00,2,True,48.0,5.0
2019-03-13 12:05:00,2019-03-13,12:05:00,2,True,48.0,5.0
2019-03-13 12:10:00,2019-03-13,12:10:00,2,True,48.0,5.0
2019-03-13 12:15:00,2019-03-13,12:15:00,2,True,39.0,7.8
2019-03-13 12:20:00,2019-03-13,12:20:00,2,True,39.0,7.8
2019-03-13 12:25:00,2019-03-13,12:25:00,2,True,39.0,7.8
2019-03-13 12:30:00,2019-03-13,12:30:00,2,True,39.0,7.8
2019-03-13 12:35:00,2019-03-13,12:35:00,2,True,39.0,7.8
2019-03-13 12:40:00,2019-03-13,12:40:00,2,True,39.0,7.8
2019-03-13 12:45:00,2019-03-13,12:45:00,2,True,42.0,7.2
2019-03-13 12:50:00,2019-03-13,12:50:00,2,True,42.0,7.2
2019-03-13 12:55:00,2019-03-13,12:55:00,2,True,42.0,7.2
2019-03-13 13:00:00,2019-03-13,13:00:00,2,True,42.0,7.2
2019-03-13 13:05:00,2019-03-13,13:05:00,2,True,42.0,7.2
2019-03-13 13:10:00,2019-03-13,13:10:00,2,True,42.0,7.2
2019-03-13 13:15:00,2019-03-13,13:15:00,2,True,39.0,7.8
2019-03-13 13:20:00,2019-03-13,13:20:00,2,True,39.0,7.8
2019-03-13 13:25:00,2019-03-13,13:25:00,2,True,39.0,7.8
2019-03-13 13:30:00,2019-03-13,13:30:00,2,True,39.0,7.8
2019-03-13 13:35:00,2019-03-13,13:35:00,2,True,39.0,7.8
2019-03-13 13:40:00,2019-03-13,13:40:00,2,True,39.0,7.8
2019-03-13 13:45:00,2019-03-13,13:45:00,2,True,42.0,7.2
2019-03-13 13:50:00,2019-03-13,13:50:00,2,True,42.0,7.2
2019-03-13 13:55:00,2019-03-13,13:55:00,2,True,42.0,7.2
2019-03-13 14:00:00,2019-03-13,14:00:00,2,True,42.0,7.2
2019-03-13 14:05:00,2019-03-13,14:05:00,2,True,42.0,7.2
2019-03-13 14:10:00,2019-03-13,14:10:00,2,True,42.0,7.2
2019-03-13 14:15:00,2019-03-13,14:15:00,2,True,45.0,7.2
2019-03-13 14:20:00,2019-03-13,14:20:00,2,True,45.0,7.2
2019-03-13 14:25:00,2019-03-13,14:25:00,2,True,45.0,7.2
2019-03-13 14:30:00,2019-03-13,14:30:00,2,True,45.0,7.2
2019-03-13 14:35:00,2019-03-13,14:35:00,2,True,45.0,7.2
2019-03-13 14:40:00,2019-03-13,14:40:00,2,True,45.0,7.2
2019-03-13 14:45:00,2019-03-13,14:45:00,2,True,39.0,7.2
2019-03-13 14:50:00,2019-03-13,14:50:00,2,True,39.0,7.2
2019-03-13 14:55:00,2019-03-13,14:55:00,2,True,39.0,7.2
2019-03-13 15:00:00,2019-03-13,15:00:00,2,True,39.0,7.2
2019-03-13 15:05:00,2019-03-13,15:05:00,2,True,39.0,7.2
2019-03-13 15:10:00,2019-03-13,15:10:00,2,True,39.0,7.2
2019-03-13 15:15:00,2019-03-13,15:15:00,2,True,42.0,7.2
2019-03-13 15:20:00,2019-03-13,15:20:00,2,True,42.0,7.2
2019-03-13 15:25:00,2019-03-13,15:25:00,2,True,42.0,7.2
2019-03-13 15:30:00,2019-03-13,15:30:00,2,True,42.0,7.2
2019-03-13 15:35:00,2019-03-13,15:35:00,2,True,42.0,7.2
2019-03-13 15:40:00,2019-03-13,15:40:00,2,True,42.0,7.2
2019-03-13 15:45:00,2019-03-13,15:45:00,2,True,45.0,6.1
2019-03-13 15:50:00,2019-03-13,15:50:00,2,True,45.0,6.1
2019-03-13 15:55:00,2019-03-13,15:55:00,2,True,45.0,6.1
2019-03-13 16:00:00,2019-03-13,16:00:00,2,True,45.0,6.1
2019-03-13 16:05:00,2019-03-13,16:05:00,2,True,45.0,6.1
2019-03-13 16:10:00,2019-03-13,16:10:00,2,True,45.0,6.1
2019-03-13 16:15:00,2019-03-13,16:15:00,2,True,45.0,6.1
2019-03-13 16:20:00,2019-03-13,16:20:00,2,True,45.0,6.1
2019-03-13 16:25:00,2019-03-13,16:25:00,2,True,45.0,6.1
2019-03-13 16:30:00,2019-03-13,16:30:00,2,True,45.0,6.1
2019-03-13 16:35:00,2019-03-13,16:35:00,2,True,45.0,6.1
2019-03-13 16:40:00,2019-03-13,16:40:00,2,True,45.0,6.1
2019-03-13 16:45:00,2019-03-13,16:45:00,2,True,48.0,6.1
2019-03-13 16:50:00,2019-03-13,16:50:00,2,True,48.0,6.1
2019-03-13 16:55:00,2019-03-13,16:55:00,2,True,48.0,6.1
2019-03-13 17:00:00,2019-03-13,17:00:00,2,True,48.0,6.1
2019-03-13 17:05:00,2019-03-13,17:05:00,2,True,48.0,6.1
2019-03-13 17:10:00,2019-03-13,17:10:00,2,True,48.0,6.1
2019-03-13 17:15:00,2019-03-13,17:15:00,2,True,56.0,5.0
2019-03-13 17:20:00,2019-03-13,17:20:00,2,True,56.0,5.0
2019-03-13 17:25:00,2019-03-13,17:25:00,2,True,56.0,5.0
2019-03-13 17:30:00,2019-03-13,17:30:00,2,True,56.0,5.0
2019-03-13 17:35:00,2019-03-13,17:35:00,2,True,56.0,5.0
2019-03-13 17:40:00,2019-03-13,17:40:00,2,True,56.0,5.0
2019-03-13 17:45:00,2019-03-13,17:45:00,2,True,56.0,5.0
2019-03-13 17:50:00,2019-03-13,17:50:00,2,True,56.0,5.0
2019-03-13 17:55:00,2019-03-13,17:55:00,2,True,56.0,5.0
2019-03-13 18:00:00,2019-03-13,18:00:00,2,True,56.0,5.0
2019-03-13 18:05:00,2019-03-13,18:05:00,2,True,56.0,5.0
2019-03-13 18:10:00,2019-03-13,18:10:00,2,True,56.0,5.0
2019-03-13 18:15:00,2019-03-13,18:15:00,2,True,56.0,5.0
2019-03-13 18:20:00,2019-03-13,18:20:00,2,True,56.0,5.0
2019-03-13 18:25:00,2019-03-13,18:25:00,2,True,56.0,5.0
2019-03-13 18:30:00,2019-03-13,18:30:00,2,True,56.0,5.0
2019-03-13 18:35:00,2019-03-13,18:35:00,2,True,56.0,5.0
2019-03-13 18:40:00,2019-03-13,18:40:00,2,True,56.0,5.0
2019-03-13 18:45:00,2019-03-13,18:45:00,2,True,56.0,5.0
2019-03-13 18:50:00,2019-03-13,18:50:00,2,True,56.0,5.0
2019-03-13 18:55:00,2019-03-13,18:55:00,2,True,56.0,5.0
2019-03-13 19:00:00,2019-03-13,19:00:00,2,True,56.0,5.0
2019-03-13 19:05:00,2019-03-13,19:05:00,2,True,56.0,5.0
2019-03-13 19:10:00,2019-03-13,19:10:00,2,True,56.0,5.0
